"","Calculate.part.in.proportion.with.fractions","Calculate.total.in.proportion.with.fractions","Choose.operator.in.fractional.identity","Enter.Calculated.value.of.rate","Enter.Calculated.value.of.ratio","Enter.denominator.of.form.of.1","Enter.denominator.of.given.fraction.in.proportion","Enter.denominator.of.given.rate.in.proportion","Enter.denominator.of.given.unit.rate.in.proportion","Enter.given.part.in.proportion","Enter.given.total.in.proportion","Enter.numerator.of.form.of.1","Enter.numerator.of.given.fraction.in.proportion","Enter.numerator.of.given.rate.in.proportion","Enter.numerator.of.given.unit.rate.in.proportion","Enter.part.in.proportion.with.variable","Enter.proportion.label.in.denominator","Enter.proportion.label.in.numerator","Enter.total.in.proportion.with.variable"
"stu_82e77b8175",0.5,0.666666666666667,1,0.833333333333333,1,0.875,1,1,1,1,0.875,0.416666666666667,0.285714285714286,0.5,1,0.625,1,0.75,0.857142857142857
"stu_91e308c037",0.6,0.8,1,1,1,0.923076923076923,0.6,1,0.75,0.666666666666667,0.875,1,0.285714285714286,1,1,1,0.9375,0.875,1
"stu_4747c1ddef.1",0.428571428571429,0.666666666666667,1,1,0.857142857142857,0.769230769230769,0.666666666666667,1,0.6,1,0.875,0.769230769230769,0.5,1,0.666666666666667,0.857142857142857,1,1,1
"stu_a05c564007.1",0.857142857142857,1,1,1,1,1,0.6,1,1,1,0.857142857142857,0.833333333333333,1,1,1,0.571428571428571,1,0.909090909090909,1
"stu_36282dbe42.1",1,0.75,1,1,1,1,0.6,1,1,1,0.8,1,0.333333333333333,1,1,1,0.9,1,0.6
"stu_13b942362c",0.75,1,1,1,1,1,0.666666666666667,1,0.5,0.666666666666667,0.333333333333333,0.714285714285714,1,1,1,0.333333333333333,1,0.4,1
"stu_1d6192bf6f",1,1,1,1,1,1,1,1,0.75,0.9,1,1,0.571428571428571,0.75,1,0.833333333333333,1,0.9375,0.9
"stu_8e6fd2d8ba.1",0.875,0.875,1,1,1,0.785714285714286,0.8,1,0.6,0.777777777777778,0.75,0.75,0.444444444444444,1,1,0.75,1,0.8125,0.75
"stu_1bcedb83a1",0.571428571428571,0.8,1,1,1,0.636363636363636,0.8,1,0.8,0.8,0.875,0.636363636363636,0.6,1,0.6,0.625,1,0.769230769230769,0.6
"stu_98cce03451",0.875,0.9,1,1,1,0.941176470588235,0.888888888888889,1,1,1,1,0.941176470588235,0.5,1,0.6,0.75,0.823529411764706,0.647058823529412,0.777777777777778
"stu_f583311842.1",1,0.833333333333333,1,1,0.833333333333333,1,1,1,1,1,1,0.833333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.833333333333333,1,1,0.666666666666667
"stu_cb90e945bd.1",0.666666666666667,0.857142857142857,1,0.833333333333333,1,0.875,0.8,1,0.666666666666667,0.714285714285714,0.888888888888889,0.9375,0.2,0.666666666666667,1,0.777777777777778,1,0.875,0.714285714285714
"stu_280eaeeedf.1",1,1,1,1,1,1,0.9,1,1,0.875,0.857142857142857,0.666666666666667,0.444444444444444,1,1,0.75,0.5625,0.5625,1
"stu_280f691d84",0.833333333333333,0.8,1,1,1,0.5,0.666666666666667,1,1,1,0.833333333333333,0.666666666666667,0.8,1,1,1,1,1,0.75
"stu_0888e35206.1",0.5,0.666666666666667,1,1,1,0.8,1,0.5,1,1,0.75,0.285714285714286,0,1,1,0.5,0.714285714285714,0.5,1
"stu_714e7e27d0",0.5,1,1,0.8,1,0.8,0.666666666666667,1,0.666666666666667,0.714285714285714,0.75,0.8,0.5,1,0.666666666666667,0.75,0.9,1,0.5
"stu_7d2fd7fb40",0.4,0.75,1,1,0.857142857142857,0.538461538461538,0.571428571428571,1,1,0.5,0.444444444444444,0,0.333333333333333,1,0.75,0.888888888888889,1,0.714285714285714,1
"stu_608bc8a22d.1",0.75,0.75,1,1,0.75,0.888888888888889,0.75,1,1,0.8,0.6,0.75,0.333333333333333,0.333333333333333,1,0.8,1,1,1
"stu_fed39bdf26",0.857142857142857,1,1,1,1,0.933333333333333,0.875,1,0.833333333333333,0.777777777777778,1,0.9375,0.5,1,0.75,0.666666666666667,1,1,0.666666666666667
"stu_82e19e6755.1",0.428571428571429,0.285714285714286,1,1,1,0.727272727272727,0.5,0.75,0.333333333333333,1,1,0.666666666666667,1,0.666666666666667,1,0.5,0.875,0.75,1
"stu_090cac8c63",0.888888888888889,1,1,1,1,0.941176470588235,1,1,0.75,0.666666666666667,0.888888888888889,0.9375,0.666666666666667,1,0.444444444444444,0.636363636363636,1,0.941176470588235,0.625
"stu_dfa4336030.1",0.6,1,1,1,1,0.833333333333333,0.666666666666667,0.75,0.5,0.285714285714286,0.8,0.888888888888889,1,0.333333333333333,1,0.8,1,0.833333333333333,1
"stu_e2f6616046",0.909090909090909,0.8,1,0.833333333333333,0.777777777777778,0.875,0.777777777777778,1,1,0.8,1,0.8,0.555555555555556,1,0.5,0.181818181818182,1,0.8125,0.4
"stu_9c106b6b1e.1",0.666666666666667,1,1,1,1,1,0.5,1,1,0.75,1,0.857142857142857,0,0.5,1,0.666666666666667,1,0.571428571428571,0.75
"stu_a05c564007.2",0.857142857142857,1,1,1,1,1,0.6,1,1,1,0.857142857142857,0.833333333333333,1,1,1,0.571428571428571,1,0.909090909090909,1
"stu_2e94ec2fb6.3",0.8,0.857142857142857,1,0.888888888888889,1,1,1,1,0.666666666666667,0.857142857142857,1,0.916666666666667,1,1,1,1,1,1,1
"stu_f2a41dfffb",0.6,0.75,1,1,0.666666666666667,0.875,0.666666666666667,1,0.5,0.75,0.75,0.875,1,1,0.5,1,1,0.888888888888889,0.75
"stu_a550148a7e",0.75,0.75,1,0.8,1,0.875,1,1,0.666666666666667,1,0.75,0.875,1,0.666666666666667,0.666666666666667,0.75,1,1,0.5
"stu_dd30e1fd88",0.777777777777778,0.571428571428571,1,0.9,0.833333333333333,0.9375,0.666666666666667,0.6,0.666666666666667,0.714285714285714,0.9,0.9375,0.5,1,0.571428571428571,0.6,1,0.941176470588235,0.714285714285714
"stu_cb171ea081",0.714285714285714,0.6,1,1,1,0.833333333333333,0.5,1,0.666666666666667,0.8,1,0.818181818181818,0.4,1,1,0.666666666666667,0.916666666666667,0.916666666666667,1
"stu_929901328f",0.833333333333333,0.888888888888889,1,1,1,0.846153846153846,0.777777777777778,1,0.75,0.888888888888889,0.857142857142857,0.866666666666667,0.25,1,0.6,1,1,0.8125,0.666666666666667
"stu_de1552e5f6.1",0.875,0.714285714285714,1,1,1,0.866666666666667,0.666666666666667,0.8,1,0.75,0.888888888888889,0.8,0.571428571428571,0.5,1,0.888888888888889,1,0.941176470588235,0.875
"stu_8f042225dc",0.8,0.857142857142857,1,1,1,0.75,0.857142857142857,1,1,0.875,1,0.642857142857143,0.75,1,1,0.833333333333333,0.857142857142857,0.769230769230769,0.857142857142857
"stu_b84d0fb212",0.714285714285714,0.75,1,1,1,0.933333333333333,1,1,0.75,1,1,0.933333333333333,0.571428571428571,1,0.75,1,1,0.928571428571429,0.857142857142857
"stu_2c5bfcb45e",0,1,1,1,0.6,1,0.5,1,1,0.8,1,0.75,1,1,1,0.333333333333333,0.777777777777778,0.875,0.75
"stu_0270bc5e1a",1,1,1,1,1,1,0.75,1,1,1,1,0.666666666666667,0.25,1,1,0.666666666666667,1,1,0.666666666666667
"stu_d742d89d42",1,0.833333333333333,1,1,1,0.916666666666667,1,1,1,0.833333333333333,1,0.833333333333333,0.833333333333333,1,1,0.666666666666667,1,0.833333333333333,0.833333333333333
"stu_37fde35c2a",1,1,1,1,1,1,0.666666666666667,1,1,0.666666666666667,1,1,0,1,1,0.666666666666667,1,0.6,0.333333333333333
"stu_d4008c5be8",0.666666666666667,1,1,1,0.5,0.6,1,1,1,0,1,1,0,1,1,0.666666666666667,1,1,1
"stu_093e6149d7.2",1,1,1,0.833333333333333,0.8,0.8,1,1,1,1,0.875,1,0.666666666666667,1,0.6,0.571428571428571,0.916666666666667,0.833333333333333,0.75
"stu_42865c71eb",1,1,1,1,1,1,0.75,1,1,0.833333333333333,1,1,0.75,1,1,0.75,1,0.8,0.833333333333333
"stu_b8c3a2ee2b.1",0.8,0.857142857142857,1,1,1,1,0.75,1,1,0.571428571428571,1,0.833333333333333,0.6,0.75,1,1,0.916666666666667,0.75,0.857142857142857
"stu_8a041b16fa",1,0.909090909090909,1,1,0.875,0.9375,1,1,1,1,0.8,1,0.5,1,0.8,0.8,0.9375,0.9375,1
"stu_b18b305e65",1,0.5,1,1,1,0.6,0.5,1,1,1,1,0.666666666666667,0,1,1,0.666666666666667,0.8,1,0.5
"stu_8fa858b82c",1,1,1,1,1,1,0.666666666666667,1,1,1,1,0.875,0.5,1,1,0.75,1,1,1
"stu_0fac44274f.2",1,1,1,0.857142857142857,1,0.769230769230769,0.625,1,1,0.571428571428571,1,0.8125,0.5,0.666666666666667,1,0.5,0.875,0.9375,0.75
"stu_c11f68bfaa.1",0.375,0.625,1,0.888888888888889,0.857142857142857,0.933333333333333,0.285714285714286,1,0.428571428571429,0.375,0.75,1,0.285714285714286,0.5,0.428571428571429,1,0.6875,0.5625,0.875
"stu_4d23a5a2b9",1,0.8,1,1,1,1,0.875,1,0.833333333333333,1,0.833333333333333,0.933333333333333,0.142857142857143,1,0.4,0.833333333333333,1,0.875,0.666666666666667
"stu_cbad8bf400.1",1,1,1,1,1,1,0.75,1,1,0.8,0.875,1,0.625,1,1,0.714285714285714,0.923076923076923,0.769230769230769,1
"stu_a0011de240",0.4,1,1,1,1,1,0.4,0.4,0.333333333333333,0.5,0.8,0.785714285714286,0.6,0.8,1,0.8,0.928571428571429,0.857142857142857,0.666666666666667
"stu_6e3ad46227",1,1,1,1,1,0.909090909090909,0.833333333333333,1,1,0.833333333333333,0.666666666666667,0.818181818181818,0.6,1,1,0.428571428571429,0.916666666666667,0.666666666666667,1
"stu_5c6dd20e66.1",1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,0,0.333333333333333,1,0.8,0.5
"stu_20343f83d6",0.923076923076923,1,1,1,1,0.8125,0.888888888888889,1,0.75,1,0.416666666666667,0.9375,0.25,1,0.5,1,0.733333333333333,0.666666666666667,0.75
"stu_0eab96fab5",1,1,1,1,1,1,0.75,1,0.8,1,1,1,0.75,0.75,0.8,0.857142857142857,1,1,0.833333333333333
"stu_c5af77de66.1",0.571428571428571,1,1,0.857142857142857,0.875,0.733333333333333,1,1,1,0.8,1,0.733333333333333,0.285714285714286,0.5,0.666666666666667,0.625,1,0.866666666666667,0.714285714285714
"stu_5e8aa8a0a7",0.666666666666667,0.4,1,0.857142857142857,1,0.875,0.6,0.75,0.666666666666667,0.75,1,0.636363636363636,0.666666666666667,0.5,0.75,0.75,0.833333333333333,0.666666666666667,0.75
"stu_b664ec1b9d",0.857142857142857,0.875,1,1,0.857142857142857,0.714285714285714,0.714285714285714,0.8,1,0.857142857142857,1,0.764705882352941,0.833333333333333,1,0.8,0.777777777777778,1,0.823529411764706,0.875
"stu_347fb82fa3.1",0.777777777777778,0.833333333333333,1,0.666666666666667,0.857142857142857,0.785714285714286,0.571428571428571,0.8,0.75,1,0.888888888888889,0.75,0.857142857142857,0.75,0.75,0.875,1,0.875,0.714285714285714
"stu_6432f210b5",0.75,1,1,0.888888888888889,1,0.5,0.5,0.4,1,0.4,0.666666666666667,0.818181818181818,0.25,0.6,1,1,0.846153846153846,0.538461538461538,0.428571428571429
"stu_a124ee0ac7",0.5,0.5,1,1,1,1,1,1,0.5,1,1,1,0.5,1,1,1,0.8,0.75,0.5
"stu_fd86aa1a7d.2",1,0.75,1,1,1,0.875,1,1,1,0.875,0.875,0.9375,0.666666666666667,0.75,0.666666666666667,0.875,0.9375,1,0.875
"stu_067d36506b.1",0.555555555555556,0.8,1,1,1,0.857142857142857,0.714285714285714,1,0.75,0.8,1,0.923076923076923,0.5,1,0.75,0.888888888888889,1,0.785714285714286,0.8
"stu_c20e0b0164",0.857142857142857,0.857142857142857,1,0.666666666666667,0.6,0.928571428571429,0.6,1,0.428571428571429,0.714285714285714,1,0.928571428571429,0.6,1,0.714285714285714,0.571428571428571,0.928571428571429,1,0.714285714285714
"stu_fa16e49f21.1",1,1,1,1,1,1,1,1,1,1,1,0.916666666666667,0.666666666666667,1,1,1,1,0.916666666666667,1
"stu_33b75ae136",1,0.888888888888889,1,1,1,0.933333333333333,1,1,0.857142857142857,1,0.833333333333333,0.75,0.666666666666667,0.4,0.75,1,0.9375,0.785714285714286,0.888888888888889
"stu_2c2c3f440b",1,0.8,1,1,1,1,1,1,0.75,0.857142857142857,1,0.714285714285714,0.4,1,0.75,0.5,0.928571428571429,0.642857142857143,0.428571428571429
"stu_303165189d.1",0.75,0.857142857142857,1,1,1,0.8,1,0.75,1,0.857142857142857,0.777777777777778,0.857142857142857,0.444444444444444,1,1,0.777777777777778,0.9375,0.875,0.857142857142857
"stu_05a9a5c723.2",0.888888888888889,1,1,1,1,0.857142857142857,0.7,1,1,1,1,0.8125,0.333333333333333,1,1,0.75,1,0.8125,0.666666666666667
"stu_02f4a0118f.1",1,0.666666666666667,1,0.6,1,1,0.333333333333333,0.666666666666667,0.5,1,0.6,0.875,0.5,0.666666666666667,1,1,1,1,1
"stu_503b116b86.1",0.714285714285714,0.833333333333333,1,1,1,0.75,0.428571428571429,0.666666666666667,0.666666666666667,0.571428571428571,0.888888888888889,0.571428571428571,0.285714285714286,0.666666666666667,0.666666666666667,0.625,0.8125,0.733333333333333,0.666666666666667
"stu_2eafdd203e",0.833333333333333,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,0.777777777777778,1,1
"stu_1391a3be51",0.5,0.75,1,1,0.75,0.777777777777778,0.5,1,0.25,0.6,0.8,0.555555555555556,0.75,1,0.666666666666667,0.8,0.8,0.8,0.8
"stu_ead5506548",1,1,1,1,1,0.857142857142857,1,1,0.666666666666667,0.5,1,1,1,1,1,0.666666666666667,0.714285714285714,0.857142857142857,0.5
"stu_90322ae586",0,1,1,1,1,1,0.666666666666667,0.75,1,0.8,0.75,0.666666666666667,0.5,0.25,1,0.25,0.545454545454545,0.818181818181818,0.5
"stu_5f87a12fd6",0.75,1,1,1,1,0.857142857142857,0.666666666666667,1,1,1,1,0.714285714285714,0.333333333333333,1,1,0.75,0.857142857142857,0.857142857142857,1
"stu_2f63f29700",1,0.857142857142857,1,1,1,0.692307692307692,0.75,0.666666666666667,1,0.666666666666667,1,0.642857142857143,0.5,0.714285714285714,1,0.875,1,0.823529411764706,0.857142857142857
"stu_6ccdc01f43.1",1,0.727272727272727,1,1,0.888888888888889,0.875,0.888888888888889,1,0.5,0.888888888888889,0.571428571428571,0.882352941176471,0.333333333333333,0.5,1,0.714285714285714,0.882352941176471,0.882352941176471,0.5
"stu_fed39bdf26.1",0.857142857142857,1,1,1,1,0.933333333333333,0.875,1,0.833333333333333,0.777777777777778,1,0.9375,0.5,1,0.75,0.666666666666667,1,1,0.666666666666667
"stu_7f22d89db3",0.818181818181818,1,1,1,1,1,0.833333333333333,1,0.857142857142857,0.8,1,1,0.6,1,0.571428571428571,1,1,0.875,1
"stu_80449a6535",0.8,1,1,1,1,0.888888888888889,0.75,0.333333333333333,1,0.5,1,0.777777777777778,0.5,0.666666666666667,1,0.6,0.888888888888889,0.888888888888889,0.5
"stu_04fd892278",0.714285714285714,1,1,0.888888888888889,0.833333333333333,1,0.833333333333333,0.6,1,0.8,0.5,0.714285714285714,0.4,0.2,1,0.5,1,0.571428571428571,1
"stu_8f2699f02c",1,0.888888888888889,1,1,1,0.769230769230769,0.8,0.75,1,0.666666666666667,1,0.785714285714286,1,0.75,0.75,1,0.928571428571429,0.785714285714286,1
"stu_53b1a5e5ed",0.857142857142857,0.714285714285714,1,0.888888888888889,1,0.875,0.571428571428571,0.666666666666667,0.4,1,0.571428571428571,0.5625,0.333333333333333,1,0.5,0.857142857142857,0.941176470588235,0.941176470588235,0.857142857142857
"stu_b167dd49dc",1,1,1,1,1,1,1,1,1,0.666666666666667,0.75,1,1,0.666666666666667,1,0.75,0.625,0.75,1
"stu_a94538a92b",0.333333333333333,1,1,0.888888888888889,0.75,0.666666666666667,1,1,0.25,0.333333333333333,0.555555555555556,0.333333333333333,0.5,0.5,1,0.444444444444444,0.846153846153846,0.583333333333333,0.666666666666667
"stu_1dd80b9b40",0.727272727272727,1,1,0.833333333333333,0.9,0.916666666666667,0.8,1,1,0.8,0.909090909090909,0.8,0.333333333333333,1,1,0.909090909090909,1,0.875,1
"stu_a188c1deb7",0.888888888888889,0.833333333333333,1,1,1,0.928571428571429,0.555555555555556,0.833333333333333,0.6,1,0.9,0.466666666666667,0.285714285714286,0.75,0.6,0.8,0.875,1,0.833333333333333
"stu_01b9835041",0.833333333333333,0.833333333333333,1,1,1,0.692307692307692,0.5,0.75,0.75,1,0.8,0.636363636363636,1,0.25,0,0.571428571428571,1,0.692307692307692,0.5
"stu_744c668d3d",1,1,1,1,1,0.857142857142857,0.666666666666667,1,0.5,1,1,1,0.333333333333333,1,1,0.5,1,0.857142857142857,1
"stu_b9d3b35a64",0.857142857142857,0.75,1,1,1,0.933333333333333,0.888888888888889,1,1,0.875,1,0.8,0.444444444444444,1,1,1,1,0.666666666666667,0.625
"stu_3ee1aeec94.1",0.666666666666667,0,1,0.75,0.5,0.666666666666667,1,1,1,0.666666666666667,1,0.666666666666667,0.5,0.666666666666667,0.5,1,0.857142857142857,0.666666666666667,1
"stu_b5755053b2",0.6,0.8,1,1,1,0.875,0.75,0.666666666666667,1,1,0.714285714285714,0.769230769230769,0.666666666666667,1,0.4,1,0.8,0.714285714285714,1
"stu_d598a26484.1",0.8,0.8,1,0.875,0.75,0.846153846153846,0.5,0.5,0.75,0.888888888888889,0.6,0.6,0.5,1,0.666666666666667,0.8,0.875,0.875,0.454545454545455
"stu_4893cbd47f.1",1,1,1,1,1,1,1,1,0.75,0.833333333333333,1,0.909090909090909,0.75,1,1,1,1,1,0.833333333333333
"stu_b839d23278.2",0.75,1,1,1,1,1,0.8,1,1,0.5,0.75,0.428571428571429,0.2,1,0.666666666666667,0.75,0.75,0.75,0.875
"stu_4fef9f1322.1",0.6,0.8,1,0.9,0.857142857142857,0.733333333333333,0.857142857142857,0.75,0.833333333333333,1,0.777777777777778,0.684210526315789,0.5,1,0.666666666666667,0.555555555555556,1,0.9375,0.888888888888889
"stu_e59672bf35",1,1,1,1,0.857142857142857,1,0.857142857142857,0.666666666666667,0.666666666666667,1,1,0.928571428571429,0.285714285714286,1,1,0.857142857142857,1,0.692307692307692,0.666666666666667
"stu_2d82395b87.1",1,0.8,1,1,1,0.875,1,1,1,1,0.833333333333333,0.916666666666667,0.666666666666667,1,1,0.666666666666667,0.916666666666667,0.916666666666667,1
"stu_c0f3f26da3.2",1,0.625,1,1,0.857142857142857,0.9375,0.5,1,1,0.888888888888889,0.857142857142857,1,0.285714285714286,1,0.4,0.857142857142857,0.733333333333333,0.666666666666667,0.857142857142857
"stu_6ee4e5ebf8",0.833333333333333,0.875,1,1,1,0.928571428571429,0.8,1,0.666666666666667,0.75,0.833333333333333,1,1,1,0.833333333333333,0.857142857142857,1,1,0.875
"stu_e1ec369fe5.1",1,1,1,1,1,1,1,1,0.5,0.666666666666667,0.75,0.666666666666667,0.333333333333333,1,1,0.75,0.857142857142857,0.428571428571429,1
"stu_825889473a",1,1,1,0.75,0.666666666666667,0.714285714285714,1,1,0.666666666666667,1,0.75,0.8,1,1,0.666666666666667,0.5,0.714285714285714,1,0.5
"stu_3d258dff67",1,1,1,0.5,0.666666666666667,0.75,0.333333333333333,1,1,1,1,0.4,0.333333333333333,1,1,1,1,1,0.333333333333333
"stu_e20ec3bdca",0.8,0.625,1,1,1,0.923076923076923,0.666666666666667,1,1,0.75,1,0.916666666666667,0.8,1,1,1,1,0.923076923076923,0.571428571428571
"stu_dcf292622c",0.6,0.666666666666667,1,1,0.75,1,0.75,1,0.5,1,0.8,1,0.5,0.333333333333333,0.75,0.5,0.909090909090909,0.909090909090909,0.666666666666667
"stu_38f92118d2.1",0.545454545454545,0.75,1,1,0.777777777777778,0.466666666666667,0.444444444444444,1,0.4,0.75,0.75,0.388888888888889,0.428571428571429,1,0.8,0.75,0.9375,0.75,0.75
"stu_c44bf8f2a3.2",0.875,1,1,1,1,1,0.75,0.75,1,1,1,0.909090909090909,1,1,1,1,0.818181818181818,0.818181818181818,1
"stu_fae20a3496.1",1,1,1,1,1,1,1,1,1,1,0.5,0.714285714285714,1,1,1,0.8,0.714285714285714,1,1
"stu_65b8ef74ef.2",0.857142857142857,0.888888888888889,1,1,0.875,1,0.625,1,0.5,1,0.857142857142857,0.9375,0.2,0.5,1,1,0.875,0.875,0.777777777777778
"stu_8249ba0e39",1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1
"stu_df7fa3a719",0.875,1,1,1,0.888888888888889,0.866666666666667,1,0.666666666666667,0.6,0.857142857142857,1,0.8125,0.3,1,0.8,0.666666666666667,0.9375,0.875,1
"stu_8f8740205e",0.888888888888889,0.625,1,1,0.857142857142857,0.933333333333333,0.428571428571429,0.857142857142857,1,1,0.75,0.8,0.428571428571429,0.285714285714286,1,1,1,0.866666666666667,0.666666666666667
"stu_229d44fc07",0.6,1,1,0.714285714285714,0.833333333333333,0.666666666666667,0.8,1,1,1,1,0.666666666666667,0.8,1,1,0.5,1,1,0.666666666666667
"stu_a550148a7e.1",0.75,0.75,1,0.8,1,0.875,1,1,0.666666666666667,1,0.75,0.875,1,0.666666666666667,0.666666666666667,0.75,1,1,0.5
"stu_14ee0e9774",1,1,1,1,0.75,1,1,1,1,1,1,1,0.333333333333333,1,1,1,0.875,1,0.6
"stu_5c9e0f37ff",0.7,1,1,1,1,0.785714285714286,0.4,0,0.5,0.666666666666667,0.5,0.857142857142857,0.166666666666667,0.5,0.5,0.444444444444444,0.9375,1,0.6
"stu_567576cb94.1",1,0.75,1,1,1,1,0.5,1,1,1,1,1,0.333333333333333,0.5,1,1,0.75,0.75,1
"stu_8e59cae3f3",0.5,0.5,1,0.888888888888889,0.75,0.777777777777778,0.75,1,0.714285714285714,1,1,0.636363636363636,0.666666666666667,1,0.6,0.8,0.846153846153846,0.615384615384615,0.428571428571429
"stu_2c17a8ed0c",0.75,1,1,1,1,1,0.6,0.666666666666667,1,1,1,0.5,0.666666666666667,1,1,1,1,0.888888888888889,0.75
"stu_75e25323be",0.875,1,1,1,1,0.8125,0.7,1,0.5,0.888888888888889,0.75,0.928571428571429,0.375,0.666666666666667,1,0.75,0.823529411764706,0.833333333333333,0.777777777777778
"stu_2c17a8ed0c.1",0.75,1,1,1,1,1,0.6,0.666666666666667,1,1,1,0.5,0.666666666666667,1,1,1,1,0.888888888888889,0.75
"stu_11c868265f",0.666666666666667,0.5,1,0.888888888888889,0.75,1,0.6,0.666666666666667,1,0.5,0.666666666666667,0.666666666666667,0.5,0.75,0.6,0.666666666666667,0.764705882352941,0.352941176470588,0.833333333333333
"stu_237be5231d",1,0.857142857142857,1,1,0.75,1,1,0.75,0.75,0.714285714285714,1,0.875,0.428571428571429,0.75,0.75,0.666666666666667,0.9375,0.875,1
"stu_9b798c102a",0.8,0.2,1,0.857142857142857,0.666666666666667,1,0.666666666666667,1,0.5,0.75,0.4,0.375,1,1,0.75,1,1,1,1
"stu_fd86aa1a7d.3",1,0.75,1,1,1,0.875,1,1,1,0.875,0.875,0.9375,0.666666666666667,0.75,0.666666666666667,0.875,0.9375,1,0.875
"stu_a554e590da",0.5,0.5,1,1,1,1,1,1,1,1,1,0.785714285714286,0.5,1,1,0.857142857142857,0.642857142857143,0.625,1
"stu_72405db163",0.916666666666667,0.8,1,1,0.888888888888889,1,0.888888888888889,1,1,0.8,0.916666666666667,1,0.444444444444444,0.75,0.75,0.75,1,0.882352941176471,0.8
"stu_64e73c7177",0.857142857142857,0.777777777777778,1,0.9,1,0.8125,0.833333333333333,1,0.833333333333333,0.666666666666667,0.714285714285714,0.8125,0.5,0.75,1,0.857142857142857,1,0.9375,0.777777777777778
"stu_a662c6e0fd",1,0.6,1,0.666666666666667,1,0.875,0.5,1,0.75,0.714285714285714,1,0.636363636363636,0.333333333333333,1,0.666666666666667,0.2,0.777777777777778,0.666666666666667,0.571428571428571
"stu_082a6e2b0b",1,1,1,1,1,1,1,1,0.75,0.8,1,1,1,1,1,1,1,1,1
"stu_1953c03679",1,1,1,0.75,1,1,0.5,0.5,1,0.75,1,0.833333333333333,0.5,1,1,1,1,0.833333333333333,0.5
"stu_125958acea.3",0.75,1,1,1,1,0.823529411764706,0.857142857142857,0.75,1,0.875,0.777777777777778,0.444444444444444,0.714285714285714,1,0.833333333333333,0.777777777777778,1,1,1
"stu_c1f62ea8fa",1,1,1,1,1,1,0.8,1,0.666666666666667,0.8,1,0.909090909090909,0.4,1,1,1,1,0.909090909090909,0.714285714285714
"stu_d742d89d42.1",1,0.833333333333333,1,1,1,0.916666666666667,1,1,1,0.833333333333333,1,0.833333333333333,0.833333333333333,1,1,0.666666666666667,1,0.833333333333333,0.833333333333333
"stu_1e69882cb7",0.5,0.75,1,1,1,0.875,0.666666666666667,1,0.571428571428571,0.777777777777778,1,0.294117647058824,0.4,1,0.714285714285714,0.75,0.823529411764706,0.529411764705882,0.625
"stu_45af6c08de",1,0.888888888888889,1,1,1,1,0.833333333333333,1,0.75,1,1,1,0.6,1,1,1,1,1,0.875
"stu_26d7389f7e",0.5,0,1,1,1,1,0.666666666666667,1,1,1,0,0.666666666666667,0.666666666666667,0,0.5,0,0.666666666666667,0.5,1
"stu_aa783d9a75",0.9,0.666666666666667,1,1,0.833333333333333,0.75,0.5,1,0.875,1,0.909090909090909,0.8,0.6,1,0.571428571428571,0.818181818181818,1,0.9375,0.8
"stu_0f81904102",1,1,1,0.666666666666667,1,0.6,0.5,1,1,1,1,0.5,0.166666666666667,1,0.666666666666667,0.5,1,0.642857142857143,0.5
"stu_6b31a520de",1,1,1,1,1,0.923076923076923,0.75,1,0.666666666666667,1,0.714285714285714,1,0.75,1,1,0.857142857142857,1,0.769230769230769,0.833333333333333
"stu_7df6b76712.1",0.714285714285714,1,1,1,1,1,1,1,0.8,1,1,0.857142857142857,0.666666666666667,1,1,0.727272727272727,1,1,0.833333333333333
"stu_519ec080f5",0.833333333333333,1,1,1,1,0.8,0.8,1,1,1,1,0.8,0.75,1,1,0.5,1,0.9,1
"stu_394ad85de6",0.5,0.5,1,1,1,0.25,0,1,0,1,0.5,0.2,0,0,1,0,1,1,0
"stu_c55b1d12b9",1,1,1,1,1,1,0.75,1,1,0.666666666666667,1,0.833333333333333,0.6,1,1,1,1,0.846153846153846,1
"stu_93b110e3b7",0.875,1,1,1,1,0.933333333333333,0.909090909090909,1,1,0.875,1,0.357142857142857,0.444444444444444,1,0.666666666666667,0.75,0.882352941176471,0.8125,0.75
"stu_48fbd6dada.1",0.857142857142857,0.875,1,1,0.833333333333333,0.875,0.666666666666667,1,0.8,0.8,1,0.823529411764706,0.6,0.75,1,0.857142857142857,1,1,0.888888888888889
"stu_f595824852.1",1,1,1,1,1,1,1,1,1,0.666666666666667,1,0.75,1,1,1,1,1,0.4,0.666666666666667
"stu_cb380d6e05",1,0.888888888888889,1,1,1,1,0.285714285714286,0.5,1,0.666666666666667,0.75,0.785714285714286,0.5,1,1,1,1,1,0.888888888888889
"stu_45380a50be",1,0.888888888888889,1,1,1,1,0.888888888888889,1,0.75,1,1,0.857142857142857,0.75,1,0.75,1,1,0.9375,0.666666666666667
"stu_87366083a5",0.625,0.833333333333333,1,1,1,0.8,0.571428571428571,1,0.8,0.875,0.875,0.692307692307692,0.666666666666667,1,0.6,1,0.941176470588235,0.941176470588235,0.5
"stu_b167dd49dc.1",1,1,1,1,1,1,1,1,1,0.666666666666667,0.75,1,1,0.666666666666667,1,0.75,0.625,0.75,1
