"","Calculate.decimal.from.given.improper.fraction","Calculate.decimal.from.given.mixed.number","Calculate.decimal.from.given.percent","Calculate.improper.fraction.from.given.decimal","Calculate.improper.fraction.from.given.mixed.number","Calculate.improper.fraction.from.given.percent","Calculate.numerator.of.mixed.number.from.given.decimal","Calculate.numerator.of.mixed.number.from.given.improper.fraction","Calculate.numerator.of.mixed.number.from.given.model","Calculate.numerator.of.mixed.number.from.given.percent","Calculate.percent.from.given.decimal","Calculate.percent.from.given.improper.fraction","Calculate.percent.from.given.mixed.number","Calculate.whole.number.part.of.mixed.number.from.given.decimal","Calculate.whole.number.part.of.mixed.number.from.given.improper.fraction","Calculate.whole.number.part.of.mixed.number.from.given.model","Calculate.whole.number.part.of.mixed.number.from.given.percent","Enter.decimal.from.given.model","Enter.given.decimal","Enter.given.improper.fraction","Enter.given.percent","Enter.improper.fraction.from.given.model","Enter.numerator.of.given.mixed.number","Enter.percent.from.given.model","Enter.whole.number.part.of.given.mixed.number","Identify.that.a.mixed.number.can.cannot.be.simplified","Identify.that.an.improper.fraction.can.cannot.be.simplified"
"stu_e141f11a64.1",1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,0.818181818181818,1
"stu_644d03d098.1",1,0.666666666666667,0.8,0.416666666666667,0.571428571428571,0.5,0.444444444444444,1,1,0.75,0.555555555555556,1,0.857142857142857,0.666666666666667,1,1,1,1,0.75,1,1,0.333333333333333,0.555555555555556,0.666666666666667,1,0.666666666666667,0.740740740740741
"stu_e92691e2b8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875,1
"stu_3a340760ee.1",1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,0.818181818181818
"stu_bde6c2b3a7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_39ce1048cf",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1
"stu_90b66d0c26.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_7df4704d47.1",0.75,1,1,1,1,1,1,0.75,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_c14b371a3d.1",1,0.666666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,0.75,1,1,1,0.666666666666667,0.6875,0.6875
"stu_c3ad58997f",1,0.8,1,1,0.363636363636364,1,0.6,1,1,1,0.5,1,0.846153846153846,0.6,1,0.666666666666667,1,1,0.833333333333333,1,1,0.5,0.833333333333333,0.666666666666667,0.846153846153846,0.75,0.791666666666667
"stu_4103098730",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875,1
"stu_cc28123425",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,0.75
"stu_a550148a7e",0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.916666666666667,0.416666666666667
"stu_84bb04f9cb.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,0.833333333333333
"stu_27ed7e8142",0.75,1,1,1,0.75,1,1,0.75,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,0.928571428571429,0.928571428571429
"stu_544877076d",1,1,0.75,1,0.833333333333333,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,0.8,1,1,0.647058823529412,0.705882352941177
"stu_c2d363419e.1",1,1,1,1,0.666666666666667,1,1,1,1,1,0.5,0.5,1,1,1,1,1,0.5,1,1,1,0.75,0.666666666666667,1,1,1,1
"stu_efff34d9b2.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875,0.625
"stu_c8c3fe37fd",1,1,1,0.833333333333333,1,1,0.75,1,1,1,0.833333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.692307692307692,0.538461538461538
"stu_c276a4d5d2.1",1,0.714285714285714,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.818181818181818,0.909090909090909
"stu_1010dc8098",1,1,0.75,0.75,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.928571428571429
"stu_101f15ce34",1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,0.866666666666667,0.6
"stu_d27045f702.1",1,1,1,1,1,1,1,1,1,1,0.666666666666667,1,1,0.833333333333333,1,1,1,1,1,1,1,1,1,1,1,0.846153846153846,0.615384615384615
"stu_d42e2282a3",1,0.75,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_6e7435f138",0.8,1,1,1,1,1,1,1,1,1,0.75,0.8,1,1,1,1,1,1,1,0.666666666666667,0.75,1,1,1,1,1,0.625
"stu_f33efbb978",1,1,1,0.8,1,0.666666666666667,0.857142857142857,1,0.8,1,0.857142857142857,1,1,0.857142857142857,0.666666666666667,0.8,0.666666666666667,0.571428571428571,1,1,1,0.8,0.75,1,1,0.692307692307692,0.769230769230769
"stu_5c2e202a86",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1
"stu_2f01077869",0.833333333333333,1,0.75,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,0.75,1,1,1,1,1,1,1,0.909090909090909,0.909090909090909
"stu_b40f7ae6b7",0.75,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,0.909090909090909
"stu_0c5bd37ba0",0.75,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.625
"stu_44d5005002.2",1,1,1,1,1,0.8,0.8,1,1,1,1,0.8,1,1,1,0.888888888888889,1,1,0.8,1,1,0.666666666666667,1,0.888888888888889,1,1,0.961538461538462
"stu_41f3eed149",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333333333,1,0.833333333333333,1,1,1,0.8,1,1,1,1,0.9
"stu_1db13e1f9a",0.75,1,0.75,0.909090909090909,1,1,0.818181818181818,1,0.75,1,0.6,1,1,0.8,1,1,1,0.75,1,1,1,1,1,0.75,1,0.428571428571429,0.518518518518518
"stu_8abf6cf3bb.1",0.571428571428571,1,0.75,1,1,1,1,0.857142857142857,1,0.75,1,1,1,1,1,1,1,0.75,1,0.857142857142857,1,1,1,0.75,1,0.941176470588235,0.941176470588235
"stu_9402f548e1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_1bcedb83a1.1",1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,0.888888888888889,1
"stu_cdfd58a63e",1,0.833333333333333,1,1,1,0.857142857142857,1,1,1,0.714285714285714,0.8,1,0.833333333333333,1,1,1,1,1,1,1,0.857142857142857,0.833333333333333,0.833333333333333,1,1,0.692307692307692,0.538461538461538
"stu_c41df59a76",1,1,1,1,1,1,1,1,1,0.75,0.75,1,1,1,1,1,1,0.75,0.75,1,1,1,1,0.75,1,0.933333333333333,0.6
"stu_c334b2e634.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"stu_19bc457cf6",1,1,1,1,1,0.75,0.6,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,0.9375,0.9375
"stu_b59c9e619d.2",1,0.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,0.916666666666667,0.833333333333333
"stu_334694cee9.2",1,0.666666666666667,1,0.7,0.833333333333333,0.666666666666667,0.9,1,1,1,1,1,1,1,1,1,1,1,0.7,1,1,0.8,0.666666666666667,1,1,0.692307692307692,0.576923076923077
"stu_d6b6f9ccba.1",1,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,0.833333333333333,1,1,0.833333333333333,1,0.666666666666667,1,0.666666666666667,1,0.833333333333333,1,1,0.75
"stu_1ac47ff45c",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_2923cb8420",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,0.625,0.625
"stu_829312a786",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333333333,1,1,1,0.5,1,1,1,0.8,0.8
"stu_df8524d13c.1",1,1,0.8,1,0.75,0.666666666666667,1,1,0.833333333333333,1,1,1,0.75,1,1,0.666666666666667,0.833333333333333,0.833333333333333,1,1,1,0.833333333333333,1,1,1,0.941176470588235,0.941176470588235
"stu_fe4a51988c",1,1,0.833333333333333,0.75,1,0.666666666666667,0.75,1,1,1,1,1,1,1,1,1,0.833333333333333,1,1,1,1,0.75,1,0.75,1,0.9375,1
"stu_b5a3ec4438",0.666666666666667,0.6,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,0.75,0.8,1,0.833333333333333,1,0.6,0.8,1,1,1,0.952380952380952
"stu_a317da9620",1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,0.833333333333333,1,1,1,0.6,1,0.833333333333333,1,0.769230769230769,0.923076923076923
"stu_f80940ceb8.1",0.75,1,1,0.666666666666667,1,1,1,0.75,0.555555555555556,1,0.833333333333333,0.75,1,1,0.75,1,1,0.9,1,0.75,1,0.9,1,0.9,1,0.863636363636364,0.818181818181818
"stu_f04f1fc4b2",1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_60ce9ab607.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_480ee224fd",1,1,1,1,1,1,0.75,1,1,1,1,0.5,1,0.75,1,1,1,1,1,0.833333333333333,1,1,1,1,1,0.923076923076923,0.846153846153846
"stu_20eb4dd0fd.1",1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875,1
"stu_3fa00923d2",1,1,0.75,1,1,1,1,1,1,1,1,0.8,1,1,0.75,1,0.75,1,1,1,1,1,1,1,1,0.866666666666667,0.666666666666667
"stu_125958acea",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,0.909090909090909,0.818181818181818
"stu_ee7d10916e",1,0.75,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,0.818181818181818,0.636363636363636
"stu_ddf73db3fd.1",1,1,1,0.8,0.666666666666667,1,1,1,0.625,1,0.666666666666667,1,1,1,1,0.625,1,0.571428571428571,1,0.666666666666667,1,0.875,1,0.875,1,0.846153846153846,0.692307692307692
"stu_73d3fd0787",1,1,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,0.9
"stu_46de1b053b",1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_1010dc8098.1",1,1,0.75,0.75,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.928571428571429
"stu_980f03d0ea",1,1,0.933333333333333,0.75,1,0.571428571428571,1,1,1,0.769230769230769,0.75,1,1,0.75,0.666666666666667,1,0.571428571428571,1,0.75,1,1,1,1,1,1,0.538461538461538,0.615384615384615
"stu_b84d0fb212",1,1,0.75,1,1,0.75,1,1,1,1,0.666666666666667,1,1,0.857142857142857,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,0.5
"stu_40733fd3ec",1,1,1,1,0.833333333333333,1,1,1,0.833333333333333,1,1,1,0.923076923076923,1,1,0.714285714285714,1,1,1,1,1,1,0.928571428571429,0.75,1,1,0.961538461538462
"stu_c71c2575d0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_acd336695b.1",0.75,1,1,0.375,0.666666666666667,1,0.857142857142857,0.8,0.833333333333333,1,0.625,1,1,1,0.8,0.777777777777778,1,1,1,1,1,0.833333333333333,1,1,1,0.961538461538462,0.807692307692308
"stu_15e76e3ad2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1
"stu_9c711c6265.3",1,0.75,0.75,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,0.857142857142857,0.714285714285714
"stu_dd67ec6df1.1",1,0.714285714285714,1,1,1,1,1,0.833333333333333,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,0.9375
"stu_da7bdb5f9e.1",0.75,0.833333333333333,0.5,1,1,1,1,1,0.833333333333333,1,1,1,0.833333333333333,1,1,1,1,1,1,1,1,0.666666666666667,0.666666666666667,1,1,0.952380952380952,0.904761904761905
"stu_c55b1d12b9",1,1,1,0.833333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,0.866666666666667
"stu_2c17a8ed0c",0.6,1,1,1,1,1,1,1,0.909090909090909,1,1,1,1,1,1,0.909090909090909,1,0.818181818181818,1,0.8,1,0.666666666666667,0.75,1,1,0.772727272727273,0.681818181818182
"stu_b236acd5db",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1
"stu_b149c728df.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,0.833333333333333,0.75,1,1,0.8,1,1,1,0.923076923076923,1
"stu_bbb48a3dc9.2",1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875
"stu_15d720117d",1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,0.875,0.875
"stu_f1113c035c",1,1,1,0.75,1,1,0.75,1,1,0.75,0.75,1,1,1,1,1,1,0.75,0.75,1,1,1,1,1,1,0.928571428571429,0.857142857142857
"stu_f50fe1fe18",1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_9c711c6265.4",1,0.75,0.75,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,0.857142857142857,0.714285714285714
"stu_4c0ee104e1.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.777777777777778,0.777777777777778
"stu_74d48c5926",1,0.833333333333333,1,1,1,1,1,1,1,1,0.666666666666667,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,0.933333333333333,0.8
"stu_6535bee2b9",0.8,1,0.75,0.75,1,1,1,1,1,1,1,0.875,1,0.75,0.875,1,1,1,0.75,1,1,1,0.625,1,1,0.730769230769231,0.730769230769231
"stu_fe9e5791b5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1
"stu_083e1be72b.1",1,1,1,1,1,1,0.833333333333333,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1,1,1,1,0.75,1,1,0.923076923076923
"stu_3a2147ff43.1",1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333333333,0.666666666666667
"stu_319469836b",1,0.75,0.75,0.75,0.75,1,1,1,1,0.75,1,0.75,0.75,1,0.75,1,1,1,1,1,1,1,1,1,1,0.777777777777778,0.588235294117647
"stu_59e3611d77",1,1,1,1,1,1,1,1,0.75,0.75,1,1,1,1,1,1,0.8,0.875,1,1,0.8,0.7,1,1,1,1,0.944444444444444
"stu_264ec874f3.2",0.875,1,1,1,1,1,1,1,1,1,1,1,1,1,0.714285714285714,1,1,1,1,1,1,1,1,1,1,0.933333333333333,0.666666666666667
"stu_dcf292622c",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1
"stu_7d2fd7fb40",1,0.875,0.625,0.333333333333333,0.833333333333333,0.714285714285714,1,1,1,1,0.5,1,0.75,0.666666666666667,1,1,0.857142857142857,1,1,1,1,1,1,1,1,0.791666666666667,0.75
"stu_9ab4a4c888.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_c133c2eff6.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8
"stu_531901464c",1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,0.75,1,1,0.909090909090909
"stu_e3465a8c4f.3",1,1,1,0.857142857142857,1,1,0.833333333333333,1,1,1,0.571428571428571,1,1,0.857142857142857,1,0.8,1,0.8,0.857142857142857,1,1,1,1,0.833333333333333,1,1,1
"stu_c081368e5e.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1
"stu_533e0892da",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,1,1,0.75,1,1,1,0.916666666666667,0.666666666666667
"stu_fe9e5791b5.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1
"stu_aa783d9a75",1,0.75,0.75,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_c6ade88272",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_c20e0b0164",1,1,0.75,0.75,1,0.75,1,1,1,1,0.75,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,0.909090909090909,0.909090909090909
"stu_9c5c85d736.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.625,0.625
"stu_58e66e1a9e.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_89ec4237c2",1,1,0.714285714285714,1,1,1,1,1,1,1,1,0.75,1,1,1,1,0.857142857142857,1,1,0.75,1,1,0.75,1,1,0.722222222222222,0.555555555555556
"stu_baf37c6c54",1,0.777777777777778,0.5,0.666666666666667,0.428571428571429,1,0.75,1,0.875,1,1,1,1,1,1,0.888888888888889,1,0.625,1,1,1,0.5,0.857142857142857,0.9,1,0.807692307692308,0.692307692307692
"stu_96a8841462",1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.846153846153846,0.642857142857143
"stu_a7f92de92a",1,1,1,1,0.6,1,1,1,1,1,1,1,1,1,0.8,1,1,1,0.8,1,1,1,0.666666666666667,1,1,0.869565217391304,0.826086956521739
"stu_71864df182.1",1,1,1,1,1,1,0.75,1,0.875,1,1,1,1,1,1,1,1,0.875,1,1,1,0.625,1,0.857142857142857,1,0.833333333333333,0.833333333333333
"stu_516dc5373b.1",1,0.75,1,1,0.75,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,0.666666666666667
"stu_644d03d098.2",1,0.666666666666667,0.8,0.416666666666667,0.571428571428571,0.5,0.444444444444444,1,1,0.75,0.555555555555556,1,0.857142857142857,0.666666666666667,1,1,1,1,0.75,1,1,0.333333333333333,0.555555555555556,0.666666666666667,1,0.666666666666667,0.740740740740741
"stu_ae990155ce.1",1,0,1,1,1,1,1,1,0.666666666666667,1,1,1,1,1,1,0.666666666666667,1,0.666666666666667,1,1,1,0.25,1,1,1,0.714285714285714,1
"stu_6a136c80e6.2",1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6,1,1,1,0.8,1,1,1,1,0.833333333333333
"stu_add7d60d69",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1
"stu_c6ade88272.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_9e86e1a742",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6
"stu_22dbf645c2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,0.8,1,1,1,1,1,1,0.714285714285714,0.571428571428571
"stu_5a27d69711.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875,0.875
"stu_ced224b951.1",1,0.75,1,1,0.875,1,1,1,0.833333333333333,1,1,1,0.636363636363636,1,1,1,1,1,1,1,1,0.666666666666667,1,1,0.833333333333333,0.52,0.56
"stu_25ac6e156a",0.75,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.909090909090909
"stu_1e69882cb7",1,1,1,0.8,1,1,0.6,1,1,1,0.8,1,1,0.8,1,1,1,0.75,0.6,1,1,1,1,1,1,0.833333333333333,0.666666666666667
"stu_347f991f1a",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8
"stu_14ee0e9774.1",0.75,1,1,1,1,1,0.875,1,1,1,0.625,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,0.833333333333333,0.833333333333333
"stu_59ca4db3ed.2",0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,0.75,1,1,1,1,1,0.75,1,0.636363636363636,0.818181818181818
"stu_4dca6dfc61",1,0.75,0.75,1,1,1,1,0.555555555555556,1,1,1,0.888888888888889,1,1,1,1,1,1,1,1,1,0.75,1,1,1,0.956521739130435,0.956521739130435
"stu_87608f15bd",1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875,0.625
"stu_69afd07587",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.888888888888889,1,0.888888888888889,1,1,1,0.625,1,0.777777777777778,1,0.692307692307692,0.615384615384615
"stu_a20345009c",1,1,1,0.5,1,1,0.5,1,1,1,0.5,1,1,0.5,1,1,1,1,1,1,1,0.6,0.666666666666667,1,1,0.833333333333333,0.833333333333333
"stu_3d4e66681b.1",1,0.5,1,1,1,1,1,1,0.5,1,1,1,0.833333333333333,1,1,0.75,1,0.75,1,1,1,1,0.833333333333333,0.75,1,0.538461538461538,0.846153846153846
"stu_36a6ed5346",1,0.666666666666667,1,0.666666666666667,0.8,1,1,1,1,1,0.8,1,0.857142857142857,0.666666666666667,1,1,1,1,1,1,1,1,0.666666666666667,1,1,0.928571428571429,0.857142857142857
"stu_e3e7e0112d.1",0.6,0.75,1,1,0.75,1,0.6,0.8,1,0.6,0.8,0.6,1,1,1,1,1,0.6,1,1,1,1,1,1,1,0.833333333333333,0.666666666666667
"stu_23e36f9d1b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333333333
"stu_b18b305e65",1,1,1,0.75,1,1,0.75,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,0.75,0.75,1,1,1,1
"stu_cfeb6e6d43",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8
"stu_460da071de.2",1,0.75,1,0.6,1,0.666666666666667,1,1,1,1,0.8,1,0.75,0.8,1,0.833333333333333,1,1,1,1,0.857142857142857,0.666666666666667,1,1,1,0.956521739130435,0.869565217391304
"stu_d005ce9e43",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,0.75,0.8,1,0.75,0.846153846153846
"stu_7ba5546a74.1",1,1,1,1,0.75,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.909090909090909,0.909090909090909
"stu_5da826edf0.1",1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,0.75,0.571428571428571,1,1,1,1,1,1,1,1,0.65,0.45
"stu_31974f345f",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,0.875,1
"stu_995206e79a.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_78981c5ed0.1",0.75,1,1,1,1,1,1,1,1,1,1,0.75,1,1,0.75,0.75,1,1,1,1,1,1,1,1,1,0.909090909090909,0.636363636363636
"stu_b5e43e74f4",1,0.75,1,0.75,1,1,0.75,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,0.75,1,1,0.636363636363636,0.636363636363636
"stu_f772a32a93.3",0.6,0.666666666666667,0.666666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.909090909090909,1,1,1,0.6,0.833333333333333,1,1,1,0.961538461538462
"stu_8cfa98575f",1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333333333,0.583333333333333
"stu_112062923d.2",1,0.666666666666667,1,0.75,0.5,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1,1,1,0.923076923076923
"stu_b145ca3da0.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,0.875
"stu_5c1e8d5d42.1",0.75,0.75,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,0.75,1,1,1,1,1,0.818181818181818,0.818181818181818
"stu_391e6a0057",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_c11f68bfaa",1,0.875,1,0.75,0.625,1,0.75,1,1,1,1,1,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,0.8,0.866666666666667
"stu_829312a786.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333333333,1,1,1,0.5,1,1,1,0.8,0.8
"stu_389767f8de",1,1,1,0.75,1,1,1,1,1,1,0.75,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,0.875
"stu_e36790b02e",1,1,0.5,1,0.6,0.75,1,1,1,1,1,1,1,1,0.666666666666667,1,1,0.875,1,1,1,1,1,1,1,0.807692307692308,0.807692307692308
"stu_d83055a7f8",1,0.75,1,1,0.75,1,0.8,1,1,1,1,1,0.75,1,1,1,1,1,1,0.8,1,1,0.75,1,1,0.823529411764706,0.529411764705882
"stu_8fedf40b68.1",1,0.5,0.666666666666667,1,1,1,1,1,1,1,0.666666666666667,1,0.833333333333333,1,1,1,1,1,0.666666666666667,1,1,1,0.833333333333333,0.666666666666667,1,1,1
"stu_e7984fb817.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,0.75,1,1,1,1,0.909090909090909
"stu_e88f38594f.2",1,0.75,1,0.8,1,1,1,1,1,1,0.833333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.692307692307692,0.846153846153846
"stu_5c2e202a86.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1
"stu_2eafdd203e.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
